Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Ceiling Ht,Owner Contact
2542 S Crater Rd,,Retail,2,,,C,Existing,3123,3123,$15.30,Freestanding,Richmond,Petersburg,"Ingargiola, Johnny",Johnny Ingargiola,TriCities,Petersburg,VA,23805-2408,Petersburg,,,,N,9/30/2020,"200,000",100.00,1972,,3123,5.12,Multi,12/18/2012,51041C0435D,510112,0435D,Yes,100-year Floodplain,,Johnny Ingargiola
2793 S Crater Rd,Suites H Thru L,Retail (Neighborhood Center),3,,,B,Existing,8782,1420,$8.45,Freestanding,Richmond,Petersburg,,,TriCities,Petersburg,VA,23805-2472,Petersburg,,,,N,6/19/2019,"146,477",83.83,1984,,8782,3.86,Multi,05/16/2012,51149C0155B,510112,0155B,No,100-year and 500-year Floodplain,,Michael Lee
3323 S Crater Rd,,Retail (Strip Center),2,,,C,Existing,10400,1550,$13.94,Freestanding,Richmond,Petersburg,"Specter Properties, Inc.",Mark Specter,TriCities,Petersburg,VA,23805,Petersburg,,,,N,,,85.10,1981,,10400,2.50,Multi,05/16/2012,51149C0175B,510112,0175B,No,100-year and 500-year Floodplain,,Bill Chavis
13601-13621 Genito Rd,,Retail (Strip Center),3,,,B,Existing,19545,4541,$12.50,Storefront,Richmond,Swift Creek,The Wilton Companies,Doug Mallory,Southwest,Midlothian,VA,23112-4001,Chesterfield,,,,N,3/7/2012,,80.96,1985,,19545,4.86,Multi,12/18/2012,51041C0109D,51041C,0109D,No,100-year and 500-year Floodplain,,Richard Johnson
424 E Grace St,424 E. Grace Street,Retail,2,,,C,Existing,10980,10980,$8.00 - 16.00,Bank,Richmond,Downtown,One South Commercial,Ann Schweitzer Riley,Downtown,Richmond,VA,23219,Richmond City,One South Commercial,Justin Sledd,1300000,Y,12/30/2019,"715,000",0.00,1928,,3660,,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,Ting Xu
1625 Hull St,1625 Hull St,Retail,2,,,C,Existing,3384,1625,$18.46,Storefront Retail/Office,Richmond,Jeff Davis Corridor,Joyner Commercial,Susan Haas,Southwest,Richmond,VA,23224,Richmond City,,,,N,2/5/2018,"285,000",51.98,1920,,1539,1.18,Multi,07/16/2014,5101290039D,510129,0039D,No,100-year and 500-year Floodplain,"14'0""",David Muluneh
241-341 E Hundred Rd,River's Bend South,Retail (Neighborhood Center),3,,,B,Existing,31928,7451,$17.00,,Richmond,South Chesterfield,Plus Management,Sean Eichert,Southwest,Chester,VA,23836-2613,Chesterfield,,,,N,,,76.66,2006,,31928,2.26,Multi,06/02/2015,51149C0030C,51041C,0030C,No,100-year and 500-year Floodplain,,Carrie Coyner
4501 W Hundred Rd,,Retail (Strip Center),1,,,C,Existing,6360,1440,$18.00,,Richmond,South Chesterfield,Dominion Commercial,Nathan Jones,Southwest,Chester,VA,23831,Chesterfield,,,,N,8/20/2012,"580,000",100.00,1964,,6360,,Multi,12/18/2012,51041C0327D,51041C,0327D,No,100-year and 500-year Floodplain,,Nazir Chaudhary
10800 Iron Bridge Rd,Ironbridge Marketplace,Retail,3,,,A,Existing,8400,2800,$32.00,,Richmond,South Chesterfield,Cushman & Wakefield | Thalhimer,Alicia Brown,Southwest,Chester,VA,23831,Chesterfield,,,,N,,,66.67,2016,,8400,,Multi,12/18/2012,51041C0307D,51041C,0307D,No,100-year and 500-year Floodplain,,
13100-13130 Kingston Ave,,Retail (Strip Center),2,,,C,Existing,10233,874,$17.00,,Richmond,South Chesterfield,Plus Management,Sean Eichert,Southwest,Chester,VA,23836,Chesterfield,,,,N,,,91.46,2002,,9721,4.11,Multi,06/02/2015,51149C0030C,51041C,0030C,No,100-year and 500-year Floodplain,,George Emerson
409 E Laburnum Ave,,Retail,2,,,C,Existing,9720,1800,$9.00 - 12.00,Storefront Retail/Office,Richmond,Laburnum/Rte 360,Realty Group LLC,Aleksandar Aleksandrov,Northeast,Richmond,VA,23222,Henrico,,,,N,6/29/2018,"440,000",81.48,1967,,4860,1.95,Multi,04/02/2009,5101290033D,51087C,0033D,No,100-year and 500-year Floodplain,,Aleksandar Aleksandrov
903 E Laburnum Ave,,Retail,2,,,C,Existing,13000,3500,$10.50,Freestanding,Richmond,Laburnum/Rte 360,Cr8tive Realty,Olatokunbo Oni,Northeast,Richmond,VA,23222,Henrico,,,,N,3/6/2017,"365,000",73.08,1966,,13000,1.15,Multi,04/02/2009,5101290033D,51087C,0033D,No,100-year and 500-year Floodplain,,Oni Olatokunbo
1300 W Main St,1300 W Main,Retail,2,,,C,Existing,5650,3104,$25.00,Storefront Retail/Office,Richmond,Near West End,Eara Enterprises,Ethan Perkins,Northwest,Richmond,VA,23220-4827,Richmond City,,,,N,,,45.06,1927,,2825,,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,Ethan Perkins
2500 E Marshall St,,Retail,2,,,C,Existing,13695,9400,$12.00,Storefront Retail/Office,Richmond,East End,,,Southeast,Richmond,VA,23223,Richmond City,,,,N,2/21/2023,"950,000",100.00,1917,,4700,1.87,Single,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,George Katharos
7506-7528 Mechanicsville Tpke,,Retail,2,,,C,Existing,64346,30246,$8.00,Storefront,Richmond,Mechanicsville,S.L. Nusbaum Realty Co.,Reid Cardon,Northeast,Mechanicsville,VA,23111,Hanover,,,,N,10/10/2019,"2,000,000",100.00,1980,,64346,4.16,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,Bhavik Shah
6332 Midlothian Tpke,,Retail,2,,,C,Existing,19000,4000,$13.00,Freestanding,Richmond,Midlothian E/Hull St,"Divaris Real Estate, Inc.",John Madures,Southwest,Richmond,VA,23225,Richmond City,,,,N,,,78.95,1981,,19000,1.79,Multi,12/18/2012,51041C0045D,510129,0045D,No,100-year and 500-year Floodplain,,Heung Park
9550 Midlothian Tpke,Midlothian Festival,Retail (Neighborhood Center),2,,,C,Existing,37700,1236,$10.00,Storefront Retail/Office,Richmond,Midlothian West,"Trustworth Properties, LLC",Mark Gans,Southwest,North Chesterfield,VA,23235-4900,Chesterfield,,,,N,1/30/2015,"1,498,410",100.00,1987,2018,37700,4.09,Multi,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,,Mark Gans
11500 Midlothian Tpke,Chesterfield Towne Center,Retail (Super Regional Mall),3,,,B,Existing,723831,147657,$35.00,Department Store,Richmond,Midlothian West,JLL,Joe Kennedy,Southwest,Richmond,VA,23235,Chesterfield,,,,N,7/6/2016,,79.82,1975,1997,723831,4.30,Multi,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,,
8 W OLD St,The Peppercorn,Retail,3,,,C,Existing,5350,1610,$17.14,Storefront Retail/Residential,Richmond,Petersburg,"Specter Properties, Inc.",Kevin Specter,TriCities,Petersburg,VA,23803,Petersburg,,,,N,,,69.91,,,1337,,Multi,12/18/2012,51041C0435D,510112,0435D,Yes,100-year Floodplain,,Randy Funk
11200-11280 Patterson Ave,,Retail (Neighborhood Center),3,,,B,Existing,71159,12685,$16.00,Storefront,Richmond,Far West End South,The Wilton Companies,Charlie Parrish,Northwest,Richmond,VA,23238-5011,Henrico,,,,N,,,87.47,1974,1999,71159,6.61,Multi,12/18/2012,51041C0050D,51087C,0050D,Yes,100-year Floodplain,,Richard Johnson
301-357 Perimeter Dr,Building 1300,Retail (Power Center),4,,,A,Existing,63760,19700,$25.00,Freestanding,Richmond,Midlothian Village,Cushman & Wakefield | Thalhimer,David Crawford,Southwest,Midlothian,VA,23113-7316,Chesterfield,,,,N,,,88.24,2009,,51225,6.12,Multi,12/18/2012,51041C0015D,51041C,0015D,No,100-year and 500-year Floodplain,,
600-616 N Sheppard St,,Retail (Strip Center),2,,,C,Existing,9592,1520,$20.00,Storefront,Richmond,Near West End,,,Northwest,Richmond,VA,23221-1712,Richmond City,,,,N,,,84.15,1924,,9592,,Multi,04/02/2009,5101290036D,510129,0036D,No,100-year and 500-year Floodplain,,
200 Towne Center West Blvd,Building 6,Retail (Neighborhood Center),3,,,B,Existing,13986,2758,$25.00,,Richmond,Short Pump,The Breeden Company,Mark Pendleton,Northwest,Richmond,VA,23233,Henrico,,,,N,,,80.28,2007,,13986,3.15,Multi,12/02/2008,51075C0245B,51087C,0245B,No,100-year and 500-year Floodplain,,
13822 Village Place Dr,,Retail (Neighborhood Center),3,,,B,Existing,3304,3304,$35.00,Fast Food,Richmond,Midlothian Village,S.L. Nusbaum Realty Co.,Doug Aronson,Southwest,Midlothian,VA,23114,Chesterfield,S.L. Nusbaum Realty Co.,Doug Aronson,1593000,Y,5/22/2008,"1,472,802",100.00,2006,,3304,10.00,Multi,12/18/2012,51041C0020D,51041C,0020D,No,100-year and 500-year Floodplain,,Barbara Barsky
6900-6932 Woodlake Commons Loop,Woodlake Commons - Building 2,Retail (Neighborhood Center),3,,,B,Existing,13200,3010,$17.00,,Richmond,Swift Creek,"SugarOak Realty, LLC",Andy Walsh,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,10/19/2017,"1,206,833",88.64,2005,,13200,6.59,Multi,12/18/2012,51041C0120D,51041C,0120D,No,100-year and 500-year Floodplain,,
9507 Woodman Rd,Laurel Green Shopping Center,Retail (Strip Center),3,,,C,Existing,5314,825,$15.00,,Richmond,Staples Mill/Parham,"Joseph R. Craig Properties, LLC",Barry Craig,Northwest,Richmond,VA,23228,Henrico,,,,N,,,100.00,2001,,5314,3.76,Multi,12/02/2008,51085C0315B,51087C,0315B,No,100-year and 500-year Floodplain,,Joe Craig
5400 Wyndham Forest Dr,Building 6,Retail (Neighborhood Center),3,,,B,Existing,10282,2106,$32.00,,Richmond,Far West End North,Cushman & Wakefield | Thalhimer,Connie Nielsen,Northwest,Glen Allen,VA,23059,Henrico,,,,N,,,100.00,2016,,10282,,,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,,
112 N 8th St,,Retail,2,,,C,Existing,4708,4708,$17.51 - 21.40 (Est.),Storefront Retail/Office,Richmond,Downtown,"Divaris Real Estate, Inc.",Loretta Cataldi,Downtown,Richmond,VA,23219,Richmond City,,,,N,,,0.00,1950,,4708,8.50,Single,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,
200-202 E Broad St,,Retail (Neighborhood Center),2,,,C,Existing,21688,12867,$20.15 - 24.63 (Est.),Storefront Retail/Office,Richmond,Downtown,"Divaris Real Estate, Inc.",Loretta Cataldi,Downtown,Richmond,VA,23219,Richmond City,,,,N,7/23/2007,"654,515",100.00,1900,2012,5422,,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,
2812 W Broad St,,Retail,2,,,C,Existing,6120,200,$16.38 - 20.02 (Est.),Storefront Retail/Office,Richmond,Near West End,KBD Holdings,Makena Ehlert,Northwest,Richmond,VA,23230,Richmond City,,,,N,5/27/2021,"750,000",96.73,1924,,6120,0.65,Single,04/02/2009,5101290028D,510129,0028D,No,100-year and 500-year Floodplain,"15'0""",
4010 W Broad St,Belmont at Broad,Retail,3,,,B,Existing,8139,5073,$18.26 - 22.32 (Est.),Storefront Retail/Office,Richmond,Willowlawn,"Divaris Real Estate, Inc.",Loretta Cataldi,Northwest,Richmond,VA,23220,Richmond City,,,,N,,,37.67,2022,,2035,6.14,Multi,04/02/2009,5101290028D,510129,0028D,No,100-year and 500-year Floodplain,,Chris Good
7504-7580 W Broad St,Merchants Walk,Retail (Community Center),3,,,B,Existing,196980,5250,$14.72 - 17.99 (Est.),Supermarket,Richmond,Broad St Corridor,NewLink Management Group,Jonathan Bowden,Northwest,Richmond,VA,23294-3608,Henrico,,,,N,6/2/2017,"10,966,827",97.33,1982,,219972,5.39,Multi,12/18/2012,51041C0050D,51087C,0050D,No,100-year and 500-year Floodplain,,Burke Lewis
9700 W Broad St,American Freight,Retail,2,,,C,Existing,18148,18148,$11.17 - 13.65 (Est.),Freestanding,Richmond,Broad St Corridor,Colliers | Virginia,Robert Black,Northwest,Glen Allen,VA,23060,Henrico,,,,N,5/30/1996,"2,755,500",0.00,1996,,18148,5.77,Single,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,,
10801-10883 W Broad St,Parkside Marketplace,Retail (Neighborhood Center),3,,,B,Existing,11200,2450,$21.04 - 25.71 (Est.),Storefront Retail/Office,Richmond,Broad St Corridor,Cushman & Wakefield | Thalhimer,Richard Thalhimer,Northwest,Glen Allen,VA,23060,Henrico,,,,N,,,78.13,1985,,11200,6.67,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,"8'6""",Robert Axelrod
10931-10941 W Broad St,,Retail (Community Center),3,,,C,Existing,55000,30520,$13.92 - 17.01 (Est.),Freestanding,Richmond,Broad St Corridor,Colliers | Virginia,Peter Vick,Northwest,Richmond,VA,23233,Henrico,,,,N,1/3/2020,,44.51,1998,,55000,7.66,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,"19'0""",
5620-5750 Brook Rd,Brook Run Shopping Center,Retail (Community Center),3,,,C,Existing,146491,19228,$17.36 - 21.22 (Est.),Retail Building,Richmond,Staples Mill/Parham,Wheeler Real Estate Company,Raymond Hicks,Northwest,Richmond,VA,23227-2273,Henrico,,,,N,,,89.87,1990,,146491,5.08,Multi,04/02/2009,5101290027D,51087C,0027D,No,100-year and 500-year Floodplain,,Angelica Beltran
115 Browns Way Rd,The Shops at Railey Hill,Retail (Strip Center),3,,,C,Existing,14528,2532,$16.07 - 19.65 (Est.),,Richmond,Midlothian Village,"Divaris Real Estate, Inc.",Loretta Cataldi,Southwest,Midlothian,VA,23114-9507,Chesterfield,,,,N,8/24/2021,"2,250,000",82.57,2001,,7264,4.27,Multi,12/18/2012,51041C0020D,51041C,0020D,No,100-year and 500-year Floodplain,,Randy Harrell
1208-1212 E Cary St,,Retail,2,,,C,Existing,25842,7100,$15.33 - 18.74 (Est.),Storefront Retail/Office,Richmond,Downtown,One South Commercial,Ann Schweitzer Riley,Downtown,Richmond,VA,23219-4116,Richmond City,,,,N,5/3/2021,"3,250,000",72.53,1870,,6461,0.00,Multi,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,Alex Griffith
3318 W Cary St,,Retail,3,,,B,Existing,3200,2820,$24.25 - 29.64 (Est.),Storefront,Richmond,Near West End,"Spotts & Carneal, Inc.",Brianne Spotts,Northwest,Richmond,VA,23221,Richmond City,,,,N,,,11.88,1959,,3200,1.25,Single,04/02/2009,5101290036D,510129,0036D,No,100-year and 500-year Floodplain,,
12131-12147 S Chalkley Rd,Chester Square Shopping Center,Retail (Strip Center),3,,,B,Existing,10000,3506,$12.85 - 15.70 (Est.),,Richmond,South Chesterfield,Colliers | Virginia,Peter Vick,Southwest,Chester,VA,23831,Chesterfield,,,,N,11/19/2018,"1,000,000",64.94,1997,,10000,5.55,Multi,12/18/2012,51041C0326D,51041C,0326D,No,100-year and 500-year Floodplain,,Gilbert Laite III
9456 Charter Gate Dr,,Retail (Neighborhood Center),3,,,B,Existing,36000,12140,$15.39 - 18.81 (Est.),,Richmond,I-95 Chamberlayne/NE,"Dodson Commercial Properties, LLC",Clint Greene,Northeast,Ashland,VA,23005,Hanover,,,,N,,,66.28,2021,,36000,,Multi,12/02/2008,51085C0310B,51085C,0310B,No,100-year and 500-year Floodplain,"18'0""",
4700-5000 Commonwealth Centre Pky,,Retail (Community Center),3,,,B,Existing,104053,5400,$14.89 - 18.20 (Est.),,Richmond,Swift Creek,Colliers | Virginia,Peter Vick,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,11/29/2018,,94.81,2001,,104053,,Multi,12/18/2012,51041C0117D,51041C,0117D,No,100-year and 500-year Floodplain,,Daniel Draucker
1100-1108 Courthouse Rd,The Shops at Lucks Lane,Retail (Neighborhood Center),3,,,B,Existing,18240,4480,$15.14 - 18.50 (Est.),,Richmond,Midlothian West,Cushman & Wakefield | Thalhimer,Alicia Brown,Southwest,Richmond,VA,23236,Chesterfield,,,,N,,,75.44,1995,,18240,4.93,Multi,12/18/2012,51041C0126D,51041C,0126D,No,100-year and 500-year Floodplain,,Monte Turner
2001 S Crater Rd,Walnut Hill Plaza,Retail (Community Center),2,,,C,Existing,90867,54014,$12.58 - 15.37 (Est.),Freestanding,Richmond,Petersburg,S.L. Nusbaum Realty Co.,David Kalman,TriCities,Petersburg,VA,23805-2703,Petersburg,,,,N,1/11/2022,"1,986,309",40.56,1959,1987,89907,9.19,Multi,12/18/2012,51041C0435D,510112,0435D,No,100-year and 500-year Floodplain,,Shahnawaz Fazlani
4140 Crossings Ct,,Retail,3,,,,Existing,7520,1880,$14.12 - 17.25 (Est.),Storefront Retail/Office,Richmond,Prince George,Roslyn Farm Corp,Nick Walker,Prince George,Prince George,VA,23875-1520,Prince George,,,,N,,,75.00,2020,,7520,,Multi,01/01/1900,,,,No,100-year and 500-year Floodplain,,Nick Walker
13815 Fribble Way,,Retail (Strip Center),3,,,B,Existing,4662,3282,$22.11 - 27.03 (Est.),,Richmond,Swift Creek,,,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,,,29.60,2000,,4622,7.79,Multi,12/18/2012,51041C0117D,51041C,0117D,No,100-year and 500-year Floodplain,,
1230 Huguenot Rd,,Retail (Neighborhood Center),3,,,B,Existing,31394,8040,$21.90 - 26.77 (Est.),Supermarket,Richmond,Midlothian West,,,Southwest,Midlothian,VA,23113-2613,Chesterfield,,,,N,2/22/2022,"6,920,000",100.00,1995,,31394,5.47,Single,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,,Ronen Armony
11400 W Huguenot Rd,The Shoppes at Bellgrade,Retail (Community Center),3,,,B,Existing,64964,1,$17.66 - 21.59 (Est.),,Richmond,Midlothian West,S.L. Nusbaum Realty Co.,Andrew Thacker,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,12/6/2016,"10,860,000",100.00,1991,,64964,6.19,Multi,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,,Robert Butcher
